ticket_id,category,priority,created_at,resolution_hours
TCK00045,Software,High,2024-02-09 23:00:00,15.23
TCK00046,Network,Medium,2024-05-10 00:00:00,6.86
TCK00047,Access/Permissions,Critical,2024-05-22 12:00:00,4.58
TCK00048,Printer,Critical,2024-02-17 11:00:00,4.53
TCK00049,Network,Low,2024-03-16 16:00:00,8.79
TCK00050,Printer,High,2024-04-23 21:00:00,9.19
TCK00051,Network,Medium,2024-02-28 17:00:00,15.52
TCK00052,Printer,Low,2024-06-29 21:00:00,2.97
TCK00053,Email,High,2024-01-22 20:00:00,2.35
TCK00054,Network,Medium,2024-06-20 11:00:00,54.84
TCK00055,Printer,Low,2024-04-25 14:00:00,13.88
TCK00056,Network,Low,2024-05-15 21:00:00,39.52
TCK00057,Network,High,2024-04-13 19:00:00,8.05
TCK00058,Email,Low,2024-01-01 04:00:00,8.62
TCK00059,Hardware,Medium,2024-01-27 11:00:00,14.56
TCK00060,Network,Medium,2024-06-02 03:00:00,14.97
TCK00061,Network,Medium,2024-03-21 11:00:00,42.87
TCK00062,Network,Low,2024-04-28 17:00:00,21.78
TCK00063,Printer,Medium,2024-06-18 14:00:00,7.04
TCK00064,Software,Medium,2024-05-11 03:00:00,5.43
TCK00065,Hardware,Low,2024-05-09 22:00:00,18.35
TCK00066,Printer,Medium,2024-05-03 07:00:00,7.91
TCK00067,Network,Medium,2024-03-27 06:00:00,14.15
TCK00068,Printer,High,2024-05-15 11:00:00,17.34
TCK00069,Printer,Medium,2024-05-08 15:00:00,2.83
TCK00070,Software,Low,2024-02-07 07:00:00,23.69
TCK00071,Software,Low,2024-04-24 02:00:00,16.95
TCK00072,Software,High,2024-06-12 01:00:00,8.01
TCK00073,Hardware,Low,2024-02-01 09:00:00,8.91
TCK00074,Network,Low,2024-03-08 17:00:00,11.13
TCK00075,Access/Permissions,Low,2024-05-11 02:00:00,3.07
TCK00076,Access/Permissions,High,2024-04-27 00:00:00,0.88
TCK00077,Software,Medium,2024-03-06 11:00:00,26.32
TCK00078,Email,Low,2024-06-21 04:00:00,6.87
TCK00079,Network,Medium,2024-06-13 16:00:00,12.33
TCK00080,Email,Low,2024-01-30 02:00:00,5.6
TCK00081,Software,Medium,2024-01-06 23:00:00,11.52
TCK00082,Network,Low,2024-05-02 10:00:00,21.45
TCK00083,Printer,Critical,2024-02-18 04:00:00,9.28
TCK00084,Software,Medium,2024-02-09 17:00:00,7.17
TCK00085,Access/Permissions,Low,2024-05-04 17:00:00,6.17
TCK00086,Network,Medium,2024-04-09 10:00:00,48.01
TCK00087,Network,High,2024-02-25 04:00:00,30.74
TCK00088,Hardware,Low,2024-05-01 19:00:00,3.19
TCK00089,Network,Medium,2024-02-21 19:00:00,61.4
TCK00090,Access/Permissions,High,2024-02-07 06:00:00,10.66
TCK00091,Printer,Medium,2024-05-23 08:00:00,12.4
TCK00092,Software,Medium,2024-03-28 17:00:00,14.23
TCK00093,Software,Critical,2024-02-22 08:00:00,12.54
TCK00094,Network,Critical,2024-05-31 13:00:00,43.6
TCK00095,Network,Critical,2024-01-15 21:00:00,29.77
TCK00096,Software,Low,2024-06-23 09:00:00,4.72
TCK00097,Hardware,Low,2024-04-14 12:00:00,11.13
TCK00098,Network,High,2024-05-18 12:00:00,24.71
TCK00099,Printer,Low,2024-02-03 05:00:00,11.62
TCK00100,Network,Low,2024-03-17 00:00:00,24.94
TCK00101,Hardware,Medium,2024-06-12 13:00:00,36.11
TCK00102,Software,Low,2024-03-30 16:00:00,3.82
TCK00103,Printer,High,2024-03-10 12:00:00,5.41
TCK00104,Software,High,2024-04-23 12:00:00,8.15
TCK00105,Network,Low,2024-01-30 20:00:00,55.5
TCK00106,Printer,High,2024-03-27 17:00:00,4.59
TCK00107,Software,High,2024-06-14 02:00:00,10.27
TCK00108,Email,Critical,2024-05-06 13:00:00,3.8
TCK00109,Network,High,2024-06-14 21:00:00,45.89
TCK00110,Network,Low,2024-02-25 09:00:00,7.21
TCK00111,Printer,Low,2024-06-26 13:00:00,17.37
TCK00112,Printer,Low,2024-05-12 09:00:00,2.22
TCK00113,Printer,Medium,2024-06-28 04:00:00,7.73
TCK00114,Software,Low,2024-02-01 16:00:00,40.18
TCK00115,Access/Permissions,Low,2024-05-02 19:00:00,2.48
TCK00116,Printer,Medium,2024-06-23 12:00:00,8.38
TCK00117,Email,Low,2024-06-11 12:00:00,5.48
TCK00118,Software,Medium,2024-01-22 19:00:00,8.68
TCK00119,Access/Permissions,Low,2024-04-05 16:00:00,2.3
TCK00120,Access/Permissions,Medium,2024-06-24 02:00:00,8.63
TCK00121,Network,Low,2024-01-27 14:00:00,17.76
TCK00122,Network,High,2024-03-29 13:00:00,63.56
TCK00123,Network,Medium,2024-03-09 14:00:00,22.8
TCK00124,Access/Permissions,Low,2024-05-19 09:00:00,12.02
TCK00125,Network,Medium,2024-01-30 17:00:00,3.3
TCK00126,Printer,Low,2024-01-06 05:00:00,19.44
TCK00127,Software,Low,2024-06-24 06:00:00,20.44
TCK00128,Software,Medium,2024-04-13 00:00:00,18.69
TCK00129,Network,Medium,2024-06-07 20:00:00,22.21
TCK00130,Network,Low,2024-03-07 21:00:00,17.39
TCK00131,Network,Low,2024-04-29 14:00:00,19.48
TCK00132,Network,Low,2024-06-29 04:00:00,33.56
TCK00133,Email,Low,2024-04-16 07:00:00,4.22
TCK00134,Email,Medium,2024-04-25 02:00:00,1.27
TCK00135,Network,Low,2024-03-16 10:00:00,36.56
TCK00136,Access/Permissions,Medium,2024-03-26 08:00:00,1.74
TCK00137,Network,Medium,2024-03-25 10:00:00,41.93
TCK00138,Hardware,Medium,2024-01-11 20:00:00,28.02
TCK00139,Access/Permissions,High,2024-03-24 02:00:00,3.66
TCK00140,Software,High,2024-02-16 14:00:00,13.78
TCK00141,Network,Medium,2024-05-03 13:00:00,28.15
TCK00142,Email,High,2024-02-22 04:00:00,3.25
TCK00143,Email,Medium,2024-04-19 05:00:00,3.37
TCK00144,Printer,Medium,2024-04-07 15:00:00,20.2
TCK00145,Software,Medium,2024-04-01 06:00:00,9.65
TCK00146,Hardware,Medium,2024-06-17 01:00:00,26.43
TCK00147,Network,High,2024-02-20 02:00:00,28.26
TCK00148,Network,High,2024-03-25 19:00:00,35.29
TCK00149,Access/Permissions,Medium,2024-02-09 14:00:00,12.35
TCK00150,Network,Medium,2024-03-18 17:00:00,47.45
TCK00151,Printer,Low,2024-05-14 12:00:00,5.75
TCK00152,Software,Medium,2024-06-05 12:00:00,20.32
TCK00153,Software,Low,2024-03-29 04:00:00,25.9
TCK00154,Printer,Low,2024-05-13 13:00:00,4.38
TCK00155,Network,Medium,2024-05-05 05:00:00,3.87
TCK00156,Network,Medium,2024-04-23 18:00:00,28.49
TCK00157,Printer,Medium,2024-05-12 09:00:00,12.11
TCK00158,Hardware,Low,2024-06-21 18:00:00,17.87
TCK00159,Software,Low,2024-05-24 20:00:00,13.22
TCK00160,Network,High,2024-05-08 00:00:00,27.59
TCK00161,Hardware,Low,2024-01-09 09:00:00,29.29
TCK00162,Network,Low,2024-01-24 22:00:00,47.79
TCK00163,Software,Medium,2024-05-30 00:00:00,10.65
TCK00164,Network,High,2024-02-20 05:00:00,26.56
TCK00165,Printer,Medium,2024-06-22 06:00:00,3.12
TCK00166,Network,Low,2024-05-10 00:00:00,22.51
TCK00167,Printer,Medium,2024-03-15 16:00:00,3.71
TCK00168,Hardware,Medium,2024-02-09 15:00:00,14.9
TCK00169,Network,Medium,2024-05-25 15:00:00,29.28
TCK00170,Network,Medium,2024-05-07 09:00:00,2.58
TCK00171,Software,Low,2024-05-18 23:00:00,22.75
TCK00172,Printer,Medium,2024-03-02 17:00:00,8.32
TCK00173,Printer,High,2024-05-24 06:00:00,13.63
TCK00174,Network,Low,2024-04-13 18:00:00,94.55
TCK00175,Software,High,2024-06-02 03:00:00,13.61
TCK00176,Network,Low,2024-02-24 15:00:00,30.68
TCK00177,Access/Permissions,Low,2024-02-04 06:00:00,6.2
TCK00178,Network,Low,2024-04-01 14:00:00,32.43
TCK00179,Printer,Medium,2024-05-29 18:00:00,13.06
TCK00180,Hardware,Medium,2024-03-05 19:00:00,6.45
TCK00181,Software,Low,2024-05-29 01:00:00,31.18
TCK00182,Network,High,2024-04-21 15:00:00,26.34
TCK00183,Software,Medium,2024-04-18 07:00:00,15.16
TCK00184,Hardware,Low,2024-02-24 05:00:00,6.4
TCK00185,Network,High,2024-06-12 12:00:00,28.35
TCK00186,Software,Low,2024-03-08 14:00:00,6.77
TCK00187,Network,Medium,2024-01-19 22:00:00,14.4
TCK00188,Printer,Medium,2024-04-21 17:00:00,4.07
TCK00189,Network,High,2024-06-20 20:00:00,8.72
TCK00190,Access/Permissions,Low,2024-02-22 02:00:00,3.13
TCK00191,Hardware,Critical,2024-03-15 09:00:00,11.0
TCK00192,Software,Low,2024-01-07 09:00:00,13.4
TCK00193,Hardware,Medium,2024-02-21 16:00:00,24.77
TCK00194,Network,Low,2024-06-24 03:00:00,62.29
TCK00195,Network,Medium,2024-04-06 18:00:00,46.22
TCK00196,Email,Medium,2024-06-20 03:00:00,3.01
TCK00197,Printer,Medium,2024-04-22 20:00:00,12.63
TCK00198,Printer,High,2024-06-04 06:00:00,13.48
TCK00199,Network,Medium,2024-05-19 23:00:00,34.32
TCK00200,Software,High,2024-06-09 13:00:00,14.1
TCK00201,Access/Permissions,Low,2024-03-04 09:00:00,11.11
TCK00202,Network,Medium,2024-03-02 02:00:00,21.22
TCK00203,Network,Medium,2024-04-21 03:00:00,13.01
TCK00204,Network,Low,2024-05-29 11:00:00,53.45
TCK00205,Network,Medium,2024-06-20 07:00:00,46.8
TCK00206,Software,Critical,2024-03-16 04:00:00,11.01
TCK00207,Printer,High,2024-02-03 21:00:00,15.61
TCK00208,Software,Medium,2024-05-26 07:00:00,7.93
TCK00209,Hardware,Low,2024-05-22 22:00:00,39.78
TCK00210,Software,Low,2024-03-25 17:00:00,13.77
TCK00211,Network,Low,2024-01-30 08:00:00,22.86
TCK00212,Printer,High,2024-06-18 12:00:00,4.41
TCK00213,Hardware,High,2024-05-22 07:00:00,50.98
TCK00214,Printer,Low,2024-02-06 20:00:00,5.17
TCK00215,Network,Low,2024-02-04 08:00:00,17.73
TCK00216,Hardware,Low,2024-01-31 06:00:00,11.15
TCK00217,Printer,Critical,2024-03-07 12:00:00,8.54
TCK00218,Printer,High,2024-06-18 13:00:00,2.21
TCK00219,Access/Permissions,Low,2024-03-21 13:00:00,4.91
TCK00220,Network,Medium,2024-02-20 18:00:00,49.6
TCK00221,Printer,High,2024-06-21 07:00:00,8.63
TCK00222,Network,Low,2024-06-14 12:00:00,30.6
TCK00223,Software,Critical,2024-03-12 07:00:00,8.9
TCK00224,Software,Medium,2024-04-09 20:00:00,14.23
TCK00225,Software,Medium,2024-06-12 18:00:00,15.83
TCK00226,Printer,Low,2024-03-12 00:00:00,11.55
TCK00227,Network,High,2024-06-27 14:00:00,14.2
TCK00228,Printer,Medium,2024-04-23 07:00:00,11.28
TCK00229,Access/Permissions,Low,2024-04-10 03:00:00,12.26
TCK00230,Network,Low,2024-03-11 10:00:00,32.67
TCK00231,Software,Low,2024-02-11 23:00:00,14.59
TCK00232,Printer,Low,2024-01-24 19:00:00,6.19
TCK00233,Access/Permissions,High,2024-03-19 15:00:00,7.1
TCK00234,Software,Low,2024-05-12 23:00:00,8.39
TCK00235,Printer,Critical,2024-01-12 20:00:00,22.54
TCK00236,Hardware,Low,2024-05-09 08:00:00,9.79
TCK00237,Software,High,2024-05-30 09:00:00,11.6
TCK00238,Network,High,2024-05-19 06:00:00,11.25
TCK00239,Access/Permissions,Low,2024-05-13 09:00:00,3.3
TCK00240,Printer,Critical,2024-05-26 07:00:00,12.14
TCK00241,Printer,Medium,2024-06-16 18:00:00,1.93
TCK00242,Access/Permissions,Medium,2024-03-18 07:00:00,3.69
TCK00243,Access/Permissions,Medium,2024-04-03 23:00:00,2.27
TCK00244,Network,Low,2024-02-13 18:00:00,29.27
TCK00245,Access/Permissions,Medium,2024-02-09 23:00:00,7.19
TCK00246,Network,Medium,2024-04-03 21:00:00,22.69
TCK00247,Software,Low,2024-01-22 16:00:00,12.14
TCK00248,Software,Low,2024-01-25 07:00:00,4.42
TCK00249,Software,Low,2024-01-12 09:00:00,6.58
TCK00250,Access/Permissions,Medium,2024-01-31 08:00:00,12.56
TCK00251,Email,Low,2024-01-09 21:00:00,2.96
TCK00252,Software,Low,2024-04-23 08:00:00,16.08
TCK00253,Network,Low,2024-01-01 01:00:00,47.11
TCK00254,Email,Medium,2024-05-12 06:00:00,4.7
TCK00255,Software,Medium,2024-06-25 14:00:00,9.05
TCK00256,Software,Medium,2024-03-21 05:00:00,9.35
TCK00257,Software,Medium,2024-01-24 00:00:00,18.56
TCK00258,Email,Low,2024-01-11 10:00:00,5.6
TCK00259,Access/Permissions,Medium,2024-05-24 05:00:00,4.71
TCK00260,Software,Medium,2024-03-29 22:00:00,25.42
TCK00261,Software,Medium,2024-05-31 14:00:00,30.02
TCK00262,Software,Low,2024-06-01 17:00:00,10.95
TCK00263,Access/Permissions,Low,2024-01-13 23:00:00,5.46
TCK00264,Access/Permissions,Low,2024-01-15 16:00:00,5.74
TCK00265,Network,Critical,2024-03-23 09:00:00,19.53
TCK00266,Hardware,Critical,2024-03-12 08:00:00,36.91
TCK00267,Software,Low,2024-06-07 19:00:00,3.69
TCK00268,Printer,Low,2024-01-23 01:00:00,5.51
TCK00269,Access/Permissions,Low,2024-05-29 15:00:00,12.78
TCK00270,Hardware,Medium,2024-04-07 12:00:00,5.16
TCK00271,Software,Low,2024-03-09 14:00:00,28.29
TCK00272,Network,Medium,2024-06-12 16:00:00,68.32
TCK00273,Network,Medium,2024-03-26 06:00:00,65.67
TCK00274,Network,Low,2024-05-08 09:00:00,60.48
TCK00275,Network,Medium,2024-04-30 11:00:00,22.65
TCK00276,Software,Medium,2024-01-24 23:00:00,24.41
TCK00277,Hardware,Medium,2024-04-23 22:00:00,13.05
TCK00278,Email,Medium,2024-03-13 14:00:00,12.83
TCK00279,Software,Low,2024-04-09 05:00:00,12.82
TCK00280,Network,Low,2024-06-27 21:00:00,16.94
TCK00281,Network,Low,2024-02-21 05:00:00,14.71
TCK00282,Access/Permissions,Low,2024-06-28 16:00:00,12.54
TCK00283,Printer,Medium,2024-05-15 09:00:00,10.28
TCK00284,Network,Low,2024-03-23 01:00:00,5.04
TCK00285,Access/Permissions,Critical,2024-01-06 08:00:00,3.31
TCK00286,Printer,Low,2024-04-13 02:00:00,10.61
TCK00287,Software,Medium,2024-06-03 23:00:00,15.51
TCK00288,Email,High,2024-05-08 00:00:00,5.97
TCK00289,Access/Permissions,Medium,2024-04-10 08:00:00,6.38
TCK00290,Network,Critical,2024-04-19 16:00:00,16.15
TCK00291,Network,Low,2024-06-02 09:00:00,7.53
TCK00292,Email,High,2024-02-11 16:00:00,2.36
TCK00293,Printer,Medium,2024-02-04 05:00:00,3.07
TCK00294,Software,Medium,2024-06-15 02:00:00,23.59
TCK00295,Software,Low,2024-05-28 16:00:00,10.28
TCK00296,Network,Medium,2024-02-10 01:00:00,26.1
TCK00297,Hardware,High,2024-04-29 07:00:00,16.89
TCK00298,Software,Medium,2024-04-09 14:00:00,5.44
TCK00299,Access/Permissions,Critical,2024-02-11 20:00:00,4.5
TCK00300,Network,Critical,2024-01-30 18:00:00,53.04
TCK00301,Network,Medium,2024-02-10 03:00:00,14.83
TCK00302,Email,Medium,2024-01-05 09:00:00,2.27
TCK00303,Access/Permissions,Low,2024-03-30 01:00:00,4.91
TCK00304,Network,Medium,2024-06-01 06:00:00,24.15
TCK00305,Email,Low,2024-01-02 11:00:00,2.56
TCK00306,Hardware,Medium,2024-05-02 10:00:00,14.57
TCK00307,Software,Medium,2024-02-21 19:00:00,7.82
TCK00308,Hardware,High,2024-04-19 15:00:00,10.34
TCK00309,Software,Low,2024-06-21 17:00:00,18.5
TCK00310,Email,High,2024-05-06 16:00:00,5.81
TCK00311,Network,Low,2024-05-12 11:00:00,21.29
TCK00312,Network,Medium,2024-02-11 03:00:00,34.78
TCK00313,Software,Low,2024-02-15 20:00:00,11.78
TCK00314,Network,Medium,2024-06-11 18:00:00,94.87
TCK00315,Software,Medium,2024-05-19 15:00:00,17.3
TCK00316,Network,Low,2024-01-04 00:00:00,63.08
TCK00317,Network,Medium,2024-01-30 11:00:00,52.44
TCK00318,Network,Medium,2024-04-27 15:00:00,23.31
TCK00319,Access/Permissions,Medium,2024-04-11 04:00:00,2.02
TCK00320,Hardware,Medium,2024-06-10 10:00:00,14.22
TCK00321,Software,Low,2024-06-10 19:00:00,25.35
TCK00322,Hardware,Medium,2024-03-28 14:00:00,23.81
TCK00323,Hardware,Medium,2024-04-16 18:00:00,7.51
TCK00324,Printer,Medium,2024-01-12 21:00:00,6.55
TCK00325,Software,Low,2024-03-14 14:00:00,14.86
TCK00326,Network,Low,2024-03-07 17:00:00,46.6
TCK00327,Hardware,Low,2024-04-14 00:00:00,9.05
TCK00328,Software,Medium,2024-03-01 02:00:00,3.8
TCK00329,Software,Medium,2024-01-11 03:00:00,13.08
TCK00330,Printer,High,2024-01-06 13:00:00,7.53
TCK00331,Network,High,2024-06-25 01:00:00,40.07
TCK00332,Software,Low,2024-01-04 22:00:00,13.38
TCK00333,Software,High,2024-05-02 18:00:00,7.29
TCK00334,Software,Low,2024-06-24 23:00:00,15.32
TCK00335,Network,Medium,2024-05-06 12:00:00,31.57
TCK00336,Software,Medium,2024-03-22 09:00:00,7.33
TCK00337,Network,Critical,2024-03-22 06:00:00,18.48
TCK00338,Network,Low,2024-01-17 15:00:00,20.5
TCK00339,Software,Critical,2024-03-30 12:00:00,4.03
TCK00340,Software,Medium,2024-03-03 20:00:00,20.77
TCK00341,Software,Low,2024-03-30 03:00:00,4.86
TCK00342,Printer,Low,2024-04-05 13:00:00,7.64
TCK00343,Software,Medium,2024-02-07 12:00:00,6.3
TCK00344,Software,High,2024-06-27 06:00:00,12.21
TCK00345,Network,High,2024-06-08 19:00:00,48.76
TCK00346,Printer,Medium,2024-04-11 20:00:00,10.91
TCK00347,Network,Medium,2024-01-18 16:00:00,17.95
TCK00348,Printer,Low,2024-04-04 23:00:00,20.69
TCK00349,Software,Medium,2024-06-16 18:00:00,4.12
TCK00350,Software,High,2024-03-30 12:00:00,10.46
TCK00351,Network,Medium,2024-05-24 00:00:00,15.59
TCK00352,Hardware,High,2024-04-16 02:00:00,32.4
TCK00353,Network,Low,2024-03-25 21:00:00,15.83
TCK00354,Network,Critical,2024-02-21 22:00:00,43.76
TCK00355,Network,Critical,2024-05-04 17:00:00,23.36
TCK00356,Software,High,2024-04-01 12:00:00,11.57
TCK00357,Software,Low,2024-02-02 12:00:00,28.1
TCK00358,Access/Permissions,Low,2024-04-06 16:00:00,7.17
TCK00359,Network,Medium,2024-06-03 01:00:00,23.21
TCK00360,Software,Low,2024-03-06 07:00:00,10.45
TCK00361,Printer,Low,2024-05-04 14:00:00,12.84
TCK00362,Printer,Medium,2024-01-27 22:00:00,4.64
TCK00363,Network,Low,2024-01-28 13:00:00,33.74
TCK00364,Network,Medium,2024-06-23 07:00:00,17.38
TCK00365,Hardware,High,2024-02-27 08:00:00,3.67
TCK00366,Access/Permissions,High,2024-02-24 08:00:00,5.59
TCK00367,Network,Medium,2024-06-04 07:00:00,37.64
TCK00368,Network,Low,2024-03-18 07:00:00,41.31
TCK00369,Network,Medium,2024-06-14 07:00:00,34.38
TCK00370,Hardware,Medium,2024-05-04 03:00:00,30.68
TCK00371,Access/Permissions,Low,2024-04-04 00:00:00,8.28
TCK00372,Printer,Medium,2024-02-16 20:00:00,14.85
TCK00373,Hardware,Medium,2024-03-21 09:00:00,18.3
TCK00374,Hardware,Medium,2024-04-12 04:00:00,26.99
TCK00375,Network,Low,2024-04-06 16:00:00,18.63
TCK00376,Network,Medium,2024-05-02 19:00:00,94.05
TCK00377,Software,Medium,2024-05-15 19:00:00,12.39
TCK00378,Network,Low,2024-01-23 13:00:00,54.35
TCK00379,Network,High,2024-03-27 02:00:00,12.03
TCK00380,Software,Low,2024-03-09 19:00:00,11.03
TCK00381,Email,High,2024-02-12 11:00:00,2.46
TCK00382,Software,Low,2024-01-17 14:00:00,8.77
TCK00383,Printer,Medium,2024-05-24 15:00:00,9.58
TCK00384,Network,Medium,2024-03-19 13:00:00,9.91
TCK00385,Network,Medium,2024-03-20 04:00:00,20.5
TCK00386,Software,Medium,2024-01-30 07:00:00,16.92
TCK00387,Network,Low,2024-05-04 02:00:00,64.03
TCK00388,Network,Medium,2024-06-27 11:00:00,19.88
TCK00389,Printer,Medium,2024-02-29 15:00:00,7.52
TCK00390,Network,High,2024-01-27 07:00:00,23.48
TCK00391,Hardware,Medium,2024-01-09 12:00:00,9.95
TCK00392,Network,Medium,2024-02-06 10:00:00,19.51
TCK00393,Software,Medium,2024-05-10 21:00:00,14.42
TCK00394,Printer,Low,2024-04-15 19:00:00,8.44
TCK00395,Software,Medium,2024-06-01 04:00:00,5.76
TCK00396,Software,Critical,2024-03-21 11:00:00,17.29
TCK00397,Network,Low,2024-02-07 06:00:00,38.4
TCK00398,Software,Low,2024-03-28 02:00:00,9.32
TCK00399,Access/Permissions,Medium,2024-03-04 05:00:00,2.54
TCK00400,Printer,High,2024-05-10 17:00:00,0.53
TCK00401,Printer,Medium,2024-06-05 06:00:00,5.0
TCK00402,Email,Medium,2024-03-12 23:00:00,4.65
TCK00403,Software,Low,2024-04-06 20:00:00,9.12
TCK00404,Software,Low,2024-03-13 21:00:00,6.5
TCK00405,Network,High,2024-03-28 17:00:00,33.12
TCK00406,Network,Low,2024-02-14 11:00:00,61.91
TCK00407,Software,Low,2024-03-16 14:00:00,9.47
TCK00408,Printer,Low,2024-06-01 09:00:00,15.05
TCK00409,Hardware,High,2024-01-21 04:00:00,30.69
TCK00410,Printer,Medium,2024-05-26 21:00:00,10.93
TCK00411,Network,High,2024-01-11 18:00:00,93.5
TCK00412,Hardware,Medium,2024-01-29 15:00:00,17.86
TCK00413,Software,Medium,2024-03-15 05:00:00,6.98
TCK00414,Software,Low,2024-01-28 21:00:00,23.34
TCK00415,Network,High,2024-03-07 10:00:00,51.14
TCK00416,Printer,Low,2024-01-10 10:00:00,28.57
TCK00417,Printer,High,2024-01-27 21:00:00,4.01
TCK00418,Email,Medium,2024-04-25 12:00:00,8.32
TCK00419,Email,High,2024-03-16 21:00:00,6.1
TCK00420,Network,Low,2024-03-12 11:00:00,15.17
TCK00421,Access/Permissions,Low,2024-02-15 18:00:00,10.38
TCK00422,Printer,Medium,2024-02-08 18:00:00,18.01
TCK00423,Access/Permissions,Low,2024-02-08 23:00:00,7.02
TCK00424,Network,Low,2024-03-07 18:00:00,13.38
TCK00425,Software,Low,2024-02-25 16:00:00,22.04
TCK00426,Printer,High,2024-06-13 02:00:00,3.13
TCK00427,Printer,Medium,2024-04-12 06:00:00,6.28
TCK00428,Network,Medium,2024-05-30 18:00:00,12.06
TCK00429,Email,Medium,2024-03-20 08:00:00,3.87
TCK00430,Network,High,2024-03-01 09:00:00,34.16
TCK00431,Printer,Critical,2024-06-06 21:00:00,4.24
TCK00432,Network,High,2024-02-17 15:00:00,48.62
TCK00433,Software,Low,2024-01-12 21:00:00,13.11
TCK00434,Email,Low,2024-05-07 00:00:00,3.05
TCK00435,Access/Permissions,Low,2024-01-03 19:00:00,2.3
TCK00436,Software,Medium,2024-02-15 05:00:00,5.05
TCK00437,Network,Medium,2024-03-07 01:00:00,70.05
TCK00438,Network,Medium,2024-03-26 04:00:00,43.3
TCK00439,Network,High,2024-01-31 07:00:00,19.07
TCK00440,Software,Low,2024-03-27 09:00:00,14.37
TCK00441,Network,High,2024-03-06 13:00:00,63.41
TCK00442,Software,Low,2024-01-25 02:00:00,19.0
TCK00443,Printer,Medium,2024-05-04 22:00:00,13.32
TCK00444,Network,Medium,2024-05-23 19:00:00,23.3
TCK00445,Software,Medium,2024-01-06 21:00:00,4.14
TCK00446,Software,Low,2024-02-25 05:00:00,19.18
TCK00447,Printer,High,2024-01-15 04:00:00,2.79
TCK00448,Network,Low,2024-02-05 15:00:00,21.82
TCK00449,Printer,Medium,2024-03-04 05:00:00,5.01
TCK00450,Hardware,High,2024-02-17 04:00:00,5.28
TCK00451,Network,High,2024-02-11 03:00:00,19.53
TCK00452,Network,Medium,2024-06-17 01:00:00,29.14
TCK00453,Email,Medium,2024-03-14 22:00:00,10.0
TCK00454,Network,Medium,2024-06-15 22:00:00,19.43
TCK00455,Software,Medium,2024-03-17 18:00:00,11.71
TCK00456,Printer,Medium,2024-02-02 02:00:00,8.09
TCK00457,Network,High,2024-01-17 02:00:00,12.01
TCK00458,Hardware,Low,2024-03-18 08:00:00,17.09
TCK00459,Hardware,High,2024-06-21 16:00:00,14.35
TCK00460,Network,Medium,2024-02-17 02:00:00,9.02
TCK00461,Access/Permissions,Low,2024-06-16 12:00:00,6.24
TCK00462,Hardware,Medium,2024-05-15 03:00:00,28.67
